id,depth,description,height,image_id,media,width,year_created
1,0,"Ink and paper study of a Taiwanese street outside of Taichung",26,1_75n-BIji1snMugLiBiASRpXSca11Usm,"Calligraphy Ink on Paper",34,2017
2,0,,0,1_9xTpp8G572uJnhACeMgwxFkStqbkGCU,"Digital Camera",0,2022
3,0,"Ink and paper study of a temple roof",24,1_oUvvOTk2eQJFKG3Je2q1wXlLv7GlByM,"Calligraphy Ink on Paper",34,2018
4,0,"Final Gauntlet drawing for Ani Art Academy to display charcoal drawing mastery, with a hint of gold leaf.",16,11fJYeZSFi3RRtKWyouvWcw-VDrAaSVci,"Charcoal, Pastel, Gold Leaf",24,2017
5,0.2,"A neon nail art set that glows under UV light.",1,11uMm_reyRSfkakMRJBphshZ1bEII_Duo,"Gel polish on press-ons",4,2022
6,0,"A lost and forgotten doll.",6,13eAq1ZDSn1mSRgQDGY2T4-zZmt-Bz-l9,"Digital Camera",4,2020
7,0,"Shimmery blues and golds for staging a house on the market",24,14G1ocNHe-QP_cTY9mEiWvX5k8Plp2wS4,"Acrylic on Canvas",30,2023
8,0,"Part of the Faces of War series.",16,15F3THtBRC85-k4J0K1tRcFIk8qS9bKvu,Acrylic,20,2022
9,0,"A triptych evoking the magic of nightlife in the woods in summer",36,169RjmgupewT-DIpxaVc0nfNUrfFL2dVU,"Acrylic on Canvas",75,2022
10,0,"Concept art from Project Oliver",0,16GIOr8UtLoKVytVObgfGktopj4utxPbo,NULL,0,2019
11,0,"This painting was inspired by the unity of the country shortly after 9-11. The artist, his brother, and his father painted it over a weekend in September of 2001.",36,16yKiMjptMzSLnwCXF4_npdp_ycFvgGc8,"Oil on board",48,2001
12,0,"Pencil study of the classic shoe",5,18xXbjrUlSW2pXcSyzlf1WFDKabIptDQa,"Pencil on Paper",7,2023
13,0,,0,19uTKeMdyin2-fEWQkgEnIHTT5lWrxBJi,"Digital Camera",0,2022
14,2,"3D printing by LootStudios",7.5,1A1ZK91zCdd6a9O3k9sly12O0VNyhPSak,Acrylics,4,2020
15,0.2,"An eggciting nail art set including the Eiffel Tower.",1,1b-lfuktkhSSu6_OpQldIvI0Gvpa3KlxS,"Gel polish on nail extensions",4,2023
16,0,"One and only heartfelt poem that I wrote so far.",11.7,1c7uzZlLufBGacLtbhiULgwwiYVCs35Aw,"Microsoft Paint",8.3,2012
17,0.5,"Painted Rocks",3.5,1cFm-47254L1jYY1U3LJHnU2qeK2zQ9-B,"Paint Pen on River Rock",2,2020
